"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15196","Products - Fetch all, Search, Add to Cart","chromium","Sat Jul 05 11:50:06 IST 2025","passed","Sat Jul 05 11:50:21 IST 2025","","TC4_Products.spec.ts","",""
"","42643","accessibility testing","chromium","Sat Jul 05 13:30:33 IST 2025","broken","Sat Jul 05 13:31:15 IST 2025","","Accessibility.spec.ts","",""
"","35644","TC1 Register User","chromium","Sat Jul 05 13:30:33 IST 2025","broken","Sat Jul 05 13:31:08 IST 2025","","TC1_RegisterUser.spec.ts","",""
"","34487","Products - Fetch all products names and prize, Search, Add to Cart","chromium","Sat Jul 05 13:30:57 IST 2025","broken","Sat Jul 05 13:31:32 IST 2025","","TC4_Products.spec.ts","",""
"","14028","TC1 Register User","firefox","Wed Jul 02 19:55:49 IST 2025","passed","Wed Jul 02 19:56:03 IST 2025","","TC1_RegisterUser.spec.ts","",""
"","16115","TC6 Contact Us Form","chromium","Sat Jul 05 13:31:20 IST 2025","passed","Sat Jul 05 13:31:36 IST 2025","","TC6_ContactUs.spec.ts","",""
"","23054","TC1 Register User","webkit","Wed Jul 02 19:55:49 IST 2025","passed","Wed Jul 02 19:56:12 IST 2025","","TC1_RegisterUser.spec.ts","",""
"","19346","accessibility testing - Scanning for few WCAG2.2 violations","chromium","Sat Jul 05 13:30:32 IST 2025","passed","Sat Jul 05 13:30:52 IST 2025","","Accessibility.spec.ts","",""
"","4529","TC2 Login User with correct email and password","chromium","Fri Jul 04 09:47:25 IST 2025","failed","Fri Jul 04 09:47:30 IST 2025","","TC2_LoginUserwithCorrectEmailPassword.spec.ts","",""
"","41955","TC2 Login User with correct email and password","chromium","Fri Jul 04 18:30:12 IST 2025","failed","Fri Jul 04 18:30:54 IST 2025","","TC2_LoginOptions.spec.ts","",""
"","36386","TC2 Login with Incorrect, Correct and LogOut flows","chromium","Sat Jul 05 13:30:32 IST 2025","broken","Sat Jul 05 13:31:09 IST 2025","","TC2_LoginOptions.spec.ts","",""
